,anio,ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,label
anio,1.0,0.08431794954174598,0.151860384757661,-0.18162441872426482,-0.0982524717437493,-0.09192966947070728,-0.11226320598050614,-0.07526018773599791,-0.05776318273546195,-0.19358271480720443,-0.10712494669300032,0.30764828572678626,0.17629138526288607,0.37115657482314,0.2701582759016008
ingresos_totales,0.08431794954174598,1.0,0.9844417216438566,0.017792037162132113,0.22092617778907953,0.06498805541572013,0.19258890971942302,-0.10913572696444626,0.021915878882138518,0.0318123416489943,0.09632204773458893,-0.06688238166774894,-0.21233350191045755,0.0667281064753856,0.02077399576775518
gastos_personal,0.151860384757661,0.9844417216438566,1.0,0.005345974858200776,0.16700545441641088,0.043034867127721435,0.16337310104881145,-0.08942859602430595,0.015686640630494172,0.013691405866912143,0.088743822484941,-0.004217837123928525,-0.20207264457264215,0.22598954723109543,0.09420007239276555
liquidez,-0.18162441872426482,0.017792037162132113,0.005345974858200776,1.0,-0.10698735181454849,-0.018822967318526906,0.11375584068562643,0.02015814548383202,0.11105415368656338,0.2277184342873434,-0.02766033452616634,-0.07109997051012343,-0.0062537130992499365,-0.02382299750167541,-0.271244374584644
dias_efectivo,-0.0982524717437493,0.22092617778907953,0.16700545441641088,-0.10698735181454849,1.0,-0.04823813488721562,0.03380466365674385,0.05466508856545711,-0.04234216832667626,-0.005865894207212186,-0.08260356391760965,-0.27871413169245934,0.04923402558722653,-0.3079724178189573,-0.36035648675945714
cfo,-0.09192966947070728,0.06498805541572013,0.043034867127721435,-0.018822967318526906,-0.04823813488721562,1.0,0.23166210065847012,0.16005764526338442,-0.007131746086495045,-0.10184720520656637,0.008755656484992871,0.006051998894013942,-0.2643314453332304,-0.08500911213900955,-0.4228412956076828
participacion_ley30,-0.11226320598050614,0.19258890971942302,0.16337310104881145,0.11375584068562643,0.03380466365674385,0.23166210065847012,1.0,-0.005774012102878408,-0.07381128241440633,-0.03472419135992705,0.43446606668312765,-0.018738928837248283,0.10384651136957801,-0.19029394946290049,-0.03239518105255887
participacion_regalias,-0.07526018773599791,-0.10913572696444626,-0.08942859602430595,0.02015814548383202,0.05466508856545711,0.16005764526338442,-0.005774012102878408,1.0,0.12200791352911992,-0.11064993085842476,-0.21469301860461693,0.16076290360381573,0.020910125933052266,0.03461854539946221,-0.053125499089105056
participacion_servicios,-0.05776318273546195,0.021915878882138518,0.015686640630494172,0.11105415368656338,-0.04234216832667626,-0.007131746086495045,-0.07381128241440633,0.12200791352911992,1.0,0.1136043630140146,-0.4128853500472668,-0.012118099194951314,0.11617686083072966,-0.1405567507134279,-0.15780457665682912
participacion_matriculas,-0.19358271480720443,0.0318123416489943,0.013691405866912143,0.2277184342873434,-0.005865894207212186,-0.10184720520656637,-0.03472419135992705,-0.11064993085842476,0.1136043630140146,1.0,-0.3138428442298606,-0.020900754598917912,0.04605034123798218,-0.0865776612731106,-0.12547781787655674
hhi_fuentes,-0.10712494669300032,0.09632204773458893,0.088743822484941,-0.02766033452616634,-0.08260356391760965,0.008755656484992871,0.43446606668312765,-0.21469301860461693,-0.4128853500472668,-0.3138428442298606,1.0,-0.07285555332201286,-0.17401039232280943,0.06106717613471446,0.22886670259436673
endeudamiento,0.30764828572678626,-0.06688238166774894,-0.004217837123928525,-0.07109997051012343,-0.27871413169245934,0.006051998894013942,-0.018738928837248283,0.16076290360381573,-0.012118099194951314,-0.020900754598917912,-0.07285555332201286,1.0,-0.1330454952722895,0.27210673820236414,0.33450874449899165
tendencia_ingresos,0.17629138526288607,-0.21233350191045755,-0.20207264457264215,-0.0062537130992499365,0.04923402558722653,-0.2643314453332304,0.10384651136957801,0.020910125933052266,0.11617686083072966,0.04605034123798218,-0.17401039232280943,-0.1330454952722895,1.0,-0.043281889176358466,0.15286128965118423
gp_ratio,0.37115657482314,0.0667281064753856,0.22598954723109543,-0.02382299750167541,-0.3079724178189573,-0.08500911213900955,-0.19029394946290049,0.03461854539946221,-0.1405567507134279,-0.0865776612731106,0.06106717613471446,0.27210673820236414,-0.043281889176358466,1.0,0.42942847196322886
label,0.2701582759016008,0.02077399576775518,0.09420007239276555,-0.271244374584644,-0.36035648675945714,-0.4228412956076828,-0.03239518105255887,-0.053125499089105056,-0.15780457665682912,-0.12547781787655674,0.22886670259436673,0.33450874449899165,0.15286128965118423,0.42942847196322886,1.0
