feature,pearson_with_label
gp_ratio,0.42942847196322886
cfo,-0.4228412956076828
dias_efectivo,-0.36035648675945714
endeudamiento,0.33450874449899165
liquidez,-0.271244374584644
anio,0.2701582759016008
hhi_fuentes,0.22886670259436673
participacion_servicios,-0.15780457665682912
tendencia_ingresos,0.15286128965118423
participacion_matriculas,-0.12547781787655674
gastos_personal,0.09420007239276555
participacion_regalias,-0.053125499089105056
participacion_ley30,-0.03239518105255887
ingresos_totales,0.02077399576775518
